source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[label replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[file uri]	factor value[compound]
BSA1	Bos taurus	serum	normal	not available	1	BSA1	BSA1_F1	proteomic profiling by mass spectrometry	1	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA1_F1.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA1_F1.mzML	BSA1
BSA1	Bos taurus	serum	normal	not available	1	BSA1	BSA1_F2	proteomic profiling by mass spectrometry	2	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA1_F2.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA1_F2.mzML	BSA1
BSA2	Bos taurus	serum	normal	not available	1	BSA2	BSA2_F1	proteomic profiling by mass spectrometry	1	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA2_F1.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA2_F1.mzML	BSA2
BSA2	Bos taurus	serum	normal	not available	1	BSA2	BSA2_F2	proteomic profiling by mass spectrometry	2	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA2_F2.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA2_F2.mzML	BSA2
BSA3	Bos taurus	serum	normal	not available	1	BSA3	BSA3_F1	proteomic profiling by mass spectrometry	1	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA3_F1.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA3_F1.mzML	BSA3
BSA3	Bos taurus	serum	normal	not available	1	BSA3	BSA3_F2	proteomic profiling by mass spectrometry	2	1	label free sample	1	NT=LTQ Orbitrap Velos;AC=MS:1001742	AC=MS:1001313;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	BSA3_F2.mzML	5 ppm	0.03 Da	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	https://github.com/bigbio/quantms-test-datasets/raw/refs/heads/quantms/testdata/lfq_ci/BSA/BSA3_F2.mzML	BSA3
