source name,characteristics[biological replicate],assay name,technology type,comment[fraction group],comment[fraction identifier],comment[label],comment[data file],factor value[condition]
BSA1_F1,1,BSA1,proteomic profiling by mass spectrometry,1,1,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA1_F1.mzML,1
BSA1_F2,1,BSA1,proteomic profiling by mass spectrometry,1,2,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA1_F2.mzML,1
BSA2_F1,2,BSA2,proteomic profiling by mass spectrometry,2,1,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA2_F1.mzML,2
BSA2_F2,2,BSA2,proteomic profiling by mass spectrometry,2,2,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA2_F2.mzML,2
BSA3_F1,3,BSA3,proteomic profiling by mass spectrometry,3,1,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA3_F1.mzML,3
BSA3_F2,3,BSA3,proteomic profiling by mass spectrometry,3,2,label free sample,https://raw.githubusercontent.com/nf-core/test-datasets/proteomicslfq/testdata/BSA3_F2.mzML,3
