source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	homo sapiens	not available	not available	not available	not available	HeLa	1	run 1	proteomic profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	AC=MS:1001313;NT=Trypsin	NT=data-dependent acquisition;AC=MS:1003221	HELA-DDA-60C-rep1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD022287/HELA-DDA-60C-rep1.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein N-term	5 ppm	0.5 Da
Sample 1	homo sapiens	not available	not available	not available	not available	HeLa	1	run 2	proteomic profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	AC=MS:1001313;NT=Trypsin	NT=data-dependent acquisition;AC=MS:1003221	HELA-DDA-60C-rep2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/06/PXD022287/HELA-DDA-60C-rep2.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;MT=variable;TA=M;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=variable;PP=Protein N-term	5 ppm	0.5 Da
