source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	factor value[disease]
PXD065380-Sample-1	Homo sapiens	urine	not applicable	chronic kidney disease	1	cell	run 1	proteomic profiling by mass spectrometry	1	1F_RIPA_DIA_30x1_1ul_2054.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/1F_RIPA_DIA_30x1_1ul_2054.d.zip	chronic kidney disease
PXD065380-Sample-2	Homo sapiens	urine	not applicable	chronic kidney disease	2	cell	run 2	proteomic profiling by mass spectrometry	1	2F_RIPA_DIA_30x1_1ul_2061.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/2F_RIPA_DIA_30x1_1ul_2061.d.zip	chronic kidney disease
PXD065380-Sample-3	Homo sapiens	urine	not applicable	chronic kidney disease	3	cell	run 3	proteomic profiling by mass spectrometry	1	3F_RIPA_DIA_30x1_1ul_2062.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/3F_RIPA_DIA_30x1_1ul_2062.d.zip	chronic kidney disease
PXD065380-Sample-4	Homo sapiens	urine	not applicable	post renal transplantation	1	cell	run 4	proteomic profiling by mass spectrometry	1	1M_RIPA_DIA_30x1_1ul_2063.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/1M_RIPA_DIA_30x1_1ul_2063.d.zip	post renal transplantation
PXD065380-Sample-5	Homo sapiens	urine	not applicable	post renal transplantation	2	cell	run 5	proteomic profiling by mass spectrometry	1	2M_RIPA_DIA_30x1_1ul_2064.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/2M_RIPA_DIA_30x1_1ul_2064.d.zip	post renal transplantation
PXD065380-Sample-6	Homo sapiens	urine	not applicable	post renal transplantation	3	cell	run 6	proteomic profiling by mass spectrometry	1	3M_RIPA_DIA_30x1_1ul_2067.d.zip	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1003230;NT=timsTOF Pro 2	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=Unimod:4	10 ppm	10 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/08/PXD065380/3M_RIPA_DIA_30x1_1ul_2067.d.zip	post renal transplantation
